family,rows_raw,rows_dedup,rows_dedup_cod,per_ty_raw,per_ty_dedup,per_ty_dedup_cod,per_ty_scada_cod
anemometry,4278,4148,3792,25.0175,24.2573,22.7161,23.8406
auxiliary,921,895,854,5.386,5.2339,5.1159,5.3692
brake_hydraulic,2614,2529,2415,15.2865,14.7895,14.4671,15.1833
comms,1397,1262,1052,8.1696,7.3801,6.302,6.614
control,229,218,217,1.3392,1.2749,1.2999,1.3643
converter,81,80,44,0.4737,0.4678,0.2636,0.2766
drivetrain,404,393,345,2.3626,2.2982,2.0667,2.169
electrical,76,75,37,0.4444,0.4386,0.2216,0.2326
external,3009,2808,2559,17.5965,16.4211,15.3298,16.0886
generator,1310,1268,1218,7.6608,7.4152,7.2965,7.6577
pitch,3920,3770,3572,22.924,22.0468,21.3982,22.4574
tower,210,208,193,1.2281,1.2164,1.1562,1.2134
yaw,1499,1496,1495,8.7661,8.7485,8.9558,9.3992
